Balances: BTC [USD],USD,total [USD],exchange rate: [BTC][USD] / initial,elapsed time [days],year,# trades
0.00,1.00,1.00,1.01,0,2018,0e+00
0.00,1.00,1.00,1.01,0,2018,0e+00
0.00,1.00,1.00,1.01,0,2018,0e+00
0.00,1.00,1.00,1.00,0,2018,0e+00
0.00,1.00,1.00,1.00,0,2018,0e+00
0.00,1.00,1.00,0.99,0,2018,0e+00
0.00,1.00,1.00,0.99,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.99,0,2018,0e+00
0.00,1.00,1.00,0.99,0,2018,0e+00
0.00,1.00,1.00,0.99,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.91,0,2018,0e+00
0.00,1.00,1.00,0.91,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.92,0,2018,0e+00
0.00,1.00,1.00,0.92,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.93,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.94,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.95,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.99,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.96,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.98,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
0.00,1.00,1.00,0.97,0,2018,0e+00
